Date,Open,High,Low,Close,Adj Close,Volume,Change,gain,Loss,Avg Gain,Avg Loss,RS,RSI
11/18/2020,481.950012,488.609985,477.720001,481.790009,481.790009,3629200,1.160004,1.160004,0,4.424285929,6.025713214,0.7342344,42.33766786
11/19/2020,482,487.799988,480.470001,484.670013,484.670013,2254700,2.880004,2.880004,0,4.6300005,3.992141714,1.159778593,53.6989577
11/20/2020,485.220001,494.76001,481.570007,488.23999,488.23999,4253400,3.569977,3.569977,0,4.286427071,3.992141714,1.07371616,51.77739272
11/23/2020,490.459991,491.149994,475.839996,476.619995,476.619995,5416600,-11.619995,0,11.619995,4.064998071,4.822141357,0.842986086,45.74023063
11/24/2020,478.839996,484.049988,475.890015,482.880005,482.880005,3550500,6.26001,6.26001,0,3.817140857,4.822141357,0.791586263,44.18354167
11/25/2020,485.130005,486.899994,478.920013,485,485,3598600,2.119995,2.119995,0,2.767854929,4.822141357,0.573988758,36.46714471
11/27/2020,486.579987,493.25,481.850006,491.359985,491.359985,2805800,6.359985,6.359985,0,3.152856,4.822141357,0.653829029,39.53425762
11/30/2020,490.079987,492.549988,481.269989,490.700012,490.700012,3530900,-0.659973,0,0.659973,3.152856,1.709998,1.843777595,64.83550606
12/1/2020,492.339996,509.470001,491.980011,504.579987,504.579987,5052700,13.879975,13.879975,0,3.448569214,1.709998,2.016709501,66.85129942
12/2/2020,501.619995,506.799988,493.5,503.380005,503.380005,3028400,-1.199982,0,1.199982,2.697139214,1.795711,1.501989582,60.031808
12/3/2020,502.98999,508.769989,496.040009,497.519989,497.519989,2826100,-5.860016,0,5.860016,2.697139214,1.929282071,1.398001492,58.2986081
12/4/2020,497.5,504.5,493.640015,498.309998,498.309998,3666200,0.790009,0.790009,0,2.753568429,1.648568286,1.670278661,62.55072496
12/7/2020,500.01001,517.76001,497.769989,515.780029,515.780029,4289300,17.470031,17.470031,0,4.001427786,1.381426143,2.896591907,74.33654784
12/8/2020,517.900024,521.48999,505.549988,512.659973,512.659973,4229000,-3.120056,0,3.120056,3.892142143,1.604287286,2.426088006,70.81219168
12/9/2020,510.529999,514.5,491.290009,493.600006,493.600006,4178800,-19.059967,0,19.059967,3.809284714,2.9657135,1.284441236,56.22561946
12/10/2020,494.559998,503.769989,492.910004,501.089996,501.089996,3018200,7.48999,7.48999,0,4.138569429,2.9657135,1.395471757,58.2545694
12/11/2020,495,503.339996,494.850006,503.220001,503.220001,3210900,2.130005,2.130005,0,4.035714286,2.9657135,1.360790341,57.64130416
12/14/2020,505.440002,524.159973,501.179993,522.419983,522.419983,5770400,19.199982,19.199982,0,5.407141571,2.135713857,2.531772481,71.68560531
12/15/2020,518.5,524.700012,513.559998,519.780029,519.780029,3394900,-2.639954,0,2.639954,4.959998,2.324282,2.133991486,68.09180866
12/16/2020,520.109985,527.380005,517.690002,524.830017,524.830017,3682400,5.049988,5.049988,0,5.169283214,2.324282,2.224034439,68.9829616
12/17/2020,529,535.48999,526.440002,532.900024,532.900024,3193400,8.070007,8.070007,0,5.291427643,2.324282,2.276585906,69.48042784
12/18/2020,533.200012,536.369995,526.02002,534.450012,534.450012,4502700,1.549988,1.549988,0,5.402141071,2.277141071,2.372334828,70.34695394
12/21/2020,530.049988,532.619995,521.150024,528.909973,528.909973,3894000,-5.540039,0,5.540039,4.410714286,2.672858143,1.650186448,62.26680577
12/22/2020,527.690002,530.400024,520.5,527.330017,527.330017,1906600,-1.579956,0,1.579956,4.410714286,2.699999143,1.633598402,62.02913857
12/23/2020,524.76001,526.320007,514.200012,514.47998,514.47998,2393200,-12.850037,0,12.850037,4.410714286,3.199286357,1.378655673,57.95944696
12/24/2020,515.119995,519.349976,512.210022,513.969971,513.969971,1144000,-0.510009,0,0.510009,4.354285071,3.235715571,1.345694631,57.36870491
12/28/2020,516.429993,523.659973,507.130005,519.119995,519.119995,2891900,5.150024,5.150024,0,3.474284571,3.235715571,1.073729904,51.77771233
12/29/2020,519.900024,536.549988,515.47998,530.869995,530.869995,4022400,11.75,11.75,0,4.313570286,3.012854429,1.431722105,58.87687998
12/30/2020,530.130005,533.26001,523.690002,524.590027,524.590027,1876300,-6.279968,0,6.279968,4.313570286,2.099997357,2.054083674,67.25695473
12/31/2020,525.530029,545.5,523.150024,540.72998,540.72998,5392300,16.139953,16.139953,0,4.931424786,2.099997357,2.348300473,70.13410212
1/4/2021,539,540.799988,515.090027,522.859985,522.859985,4444400,-17.869995,0,17.869995,4.779281571,3.376425571,1.41548554,58.60045595
1/5/2021,521.549988,526.780029,515.890015,520.799988,520.799988,3133900,-2.059997,0,2.059997,3.407854286,3.523568214,0.967160015,49.16529451
1/6/2021,511.970001,513.099976,499.5,500.48999,500.48999,5346200,-20.309998,0,20.309998,3.407854286,4.785714214,0.712088966,41.59182029
1/7/2021,508.279999,516.440002,506.420013,508.890015,508.890015,3686400,8.400025,8.400025,0,3.647142643,4.785714214,0.762089519,43.24919425
1/8/2021,511.309998,513.23999,504.51001,510.399994,510.399994,2973900,1.509979,1.509979,0,3.178569214,4.785714214,0.664178652,39.91029755
1/11/2021,507.839996,510.730011,497.950012,499.100006,499.100006,3806200,-11.299988,0,11.299988,3.067855786,5.592856214,0.548531138,35.42267409
1/12/2021,500,501.089996,485.670013,494.25,494.25,5990400,-4.850006,0,4.850006,3.067855786,5.543568143,0.553408149,35.62541818
1/13/2021,495.5,512.349976,493.01001,507.790009,507.790009,5032100,13.540009,13.540009,0,4.034999286,5.430714143,0.742996074,42.62752424
1/14/2021,507.350006,514.5,499.579987,500.859985,500.859985,4177400,-6.930024,0,6.930024,4.034999286,5.007856071,0.805733877,44.620854
